CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance3.py
MEM 11376.113281 1599793574.0769
MEM 11376.113281 1599793574.1777
MEM 11376.113281 1599793574.2784
MEM 11376.113281 1599793574.3791
MEM 11376.113281 1599793574.4798
MEM 11376.113281 1599793574.5806
MEM 11376.113281 1599793574.6813
MEM 11376.113281 1599793574.7820
MEM 11376.113281 1599793574.8828
MEM 11376.113281 1599793574.9835
MEM 11376.113281 1599793575.0843
MEM 11376.113281 1599793575.1850
MEM 11376.113281 1599793575.2857
MEM 11376.113281 1599793575.3864
MEM 11376.113281 1599793575.4872
MEM 11376.113281 1599793575.5879
MEM 11376.113281 1599793575.6887
MEM 11376.113281 1599793575.7893
MEM 11376.113281 1599793575.8901
MEM 11376.113281 1599793575.9908
MEM 11376.113281 1599793576.0916
MEM 11376.113281 1599793576.1923
MEM 11376.113281 1599793576.2930
MEM 11376.113281 1599793576.3938
MEM 11376.113281 1599793576.4945
MEM 11376.113281 1599793576.5952
MEM 11376.113281 1599793576.6959
MEM 11376.113281 1599793576.7967
MEM 11376.113281 1599793576.8974
MEM 11376.113281 1599793576.9981
MEM 11376.113281 1599793577.0988
MEM 11376.113281 1599793577.1996
MEM 11376.113281 1599793577.3003
MEM 11376.113281 1599793577.4010
MEM 11376.113281 1599793577.5018
MEM 11376.113281 1599793577.6025
MEM 11376.113281 1599793577.7032
MEM 11376.113281 1599793577.8040
MEM 11376.113281 1599793577.9047
MEM 11376.113281 1599793578.0054
MEM 11376.113281 1599793578.1061
MEM 11376.113281 1599793578.2069
MEM 11376.113281 1599793578.3076
MEM 11376.113281 1599793578.4084
MEM 11376.113281 1599793578.5091
MEM 11376.113281 1599793578.6098
MEM 11376.113281 1599793578.7106
MEM 11376.113281 1599793578.8113
MEM 11376.113281 1599793578.9120
MEM 11376.113281 1599793579.0127
MEM 11376.113281 1599793579.1135
MEM 11376.113281 1599793579.2142
MEM 11376.113281 1599793579.3149
MEM 11376.113281 1599793579.4156
MEM 11376.113281 1599793579.5164
MEM 11376.113281 1599793579.6171
MEM 11376.113281 1599793579.7179
MEM 11376.113281 1599793579.8186
MEM 11376.113281 1599793579.9193
MEM 11376.113281 1599793580.0200
MEM 11376.113281 1599793580.1208
MEM 11376.113281 1599793580.2215
MEM 11376.113281 1599793580.3222
MEM 11376.113281 1599793580.4230
MEM 11376.113281 1599793580.5237
MEM 11376.113281 1599793580.6244
MEM 11376.113281 1599793580.7252
MEM 11376.113281 1599793580.8259
MEM 11376.113281 1599793580.9266
MEM 11376.113281 1599793581.0274
MEM 11376.113281 1599793581.1281
MEM 11376.113281 1599793581.2288
MEM 11376.113281 1599793581.3295
MEM 11376.113281 1599793581.4303
MEM 11376.113281 1599793581.5310
MEM 11376.113281 1599793581.6317
MEM 11376.113281 1599793581.7325
MEM 11376.113281 1599793581.8332
