value,S1,S2,time(s),
42423.8226,1851,0,57.41992331,
42423.8226,1852,0,58.46993518,
42750.37881,1853,0,58.31990623,
42750.37881,1854,0,59.11990309,
42750.37881,1855,0,61.82899642,
42750.37881,1856,0,59.07977843,
42750.37881,1857,0,58.25992441,
42750.37881,1858,0,58.70992899,
42750.37881,1859,0,60.92992926,
42750.37881,1860,0,59.04989791,
42750.37881,1861,0,58.93989873,
42750.37881,1862,0,58.97992849,
42750.37881,1863,0,58.89993215,
42750.37881,1864,0,59.19988751,
42750.37881,1865,0,59.03116727,
42750.37881,1866,0,58.10990477,
42750.37881,1867,0,58.50993323,
42750.37881,1868,0,58.44990206,
42750.37881,1869,0,60.28990602,
42750.37881,1870,0,59.28992629,
42750.37881,1871,0,58.82992983,
42750.37881,1872,0,58.65993023,
42750.37881,1873,0,59.16993499,
42750.37881,1874,0,58.88993311,
42750.37881,1875,0,60.25993156,
42750.37881,1876,0,58.69049096,
42750.37881,1877,0,58.18990183,
42750.37881,1878,0,58.76992893,
42750.37881,1879,0,61.07989597,
42750.37881,1880,0,58.55993462,
42750.37881,1881,0,58.34992886,
42750.37881,1882,0,61.03993678,
42750.37881,1883,0,58.78990126,
42750.37881,1884,0,58.05993056,
42750.37881,1885,0,59.08993816,
42750.37881,1886,0,58.9490726,
42750.37881,1887,0,58.34992981,
42750.37881,1888,0,59.29042459,
42750.37881,1889,0,58.45990396,
42750.37881,1890,0,58.42993665,
42750.37881,1891,0,58.6298964,
42750.37881,1892,0,59.10993123,
42423.8226,1893,0,58.12993932,
42750.37881,1894,0,58.34993243,
42750.37881,1895,0,58.2199297,
42423.8226,1896,0,57.84048176,
42423.8226,1897,0,57.99992919,
42750.37881,1898,0,58.67098713,
42750.37881,1899,0,59.43699384,
42750.37881,1900,0,59.17797565,
42750.37881,1901,0,58.88989449,
42750.37881,1902,0,60.31993341,
42750.37881,1903,0,59.24990797,
42750.37881,1904,0,58.74989724,
42750.37881,1905,0,58.0799334,
42750.37881,1906,0,62.68992662,
42750.37881,1907,0,58.31990361,
42750.37881,1908,0,58.17993116,
42750.37881,1909,0,59.17990518,
42750.37881,1910,0,58.09993124,
42750.37881,1911,0,57.93990278,
42750.37881,1912,0,58.69993305,
42750.37881,1913,0,58.67992687,
42750.37881,1914,0,58.24989986,
42750.37881,1915,0,59.10990667,
42750.37881,1916,0,59.19550753,
42750.37881,1917,0,58.72993636,
42750.37881,1918,0,59.01990175,
42750.37881,1919,0,59.10989809,
42750.37881,1920,0,58.36992979,
42750.37881,1921,0,58.65992975,
42750.37881,1922,0,58.84599519,
42750.37881,1923,0,58.46991086,
42750.37881,1924,0,61.25989771,
42750.37881,1925,0,58.38993025,
42750.37881,1926,0,58.27993083,
42750.37881,1927,0,59.15047789,
42750.37881,1928,0,58.33993053,
42750.37881,1929,0,57.9899385,
42750.37881,1930,0,59.95992446,
42750.37881,1931,0,58.60992932,
42750.37881,1932,0,58.28993297,
42750.37881,1933,0,58.99989867,
42750.37881,1934,0,59.02993703,
42750.37881,1935,0,58.55988574,
42750.37881,1936,0,58.63992977,
42750.37881,1937,0,60.1810019,
42420.24311,1938,0,57.40993142,
42750.37881,1939,0,59.03990531,
42750.37881,1940,0,58.19993234,
42420.24311,1941,0,57.63993168,
42420.24311,1942,0,58.10990763,
42750.37881,1943,0,58.53123021,
42750.37881,1944,0,57.94992971,
42750.37881,1945,0,58.66987705,
42750.37881,1946,0,58.53991866,
42750.37881,1947,0,57.98050427,
42750.37881,1948,0,59.05100584,
42750.37881,1949,0,58.61233497,
42750.37881,1950,0,57.83990002,
42750.37881,1951,0,59.12992716,
42750.37881,1952,0,58.37993002,
42750.37881,1953,0,58.41992879,
42750.37881,1954,0,59.26989937,
42750.37881,1955,0,58.34046292,
42750.37881,1956,0,60.4598887,
42750.37881,1957,0,58.88051391,
42750.37881,1958,0,60.71993494,
42750.37881,1959,0,58.25993133,
42750.37881,1960,0,59.54992652,
42750.37881,1961,0,59.06992555,
42750.37881,1962,0,58.93991661,
42750.37881,1963,0,59.19203186,
42750.37881,1964,0,58.29993486,
42750.37881,1965,0,58.38993621,
42750.37881,1966,0,59.26993251,
42750.37881,1967,0,71.51986766,
42750.37881,1968,0,58.08708429,
42750.37881,1969,0,59.38994026,
42750.37881,1970,0,60.4999249,
42750.37881,1971,0,58.76992035,
42750.37881,1972,0,58.73990202,
42750.37881,1973,0,58.36993408,
42750.37881,1974,0,60.34992623,
42750.37881,1975,0,59.3899281,
42750.37881,1976,0,59.01992702,
42750.37881,1977,0,60.01882362,
42750.37881,1978,0,61.17992568,
42750.37881,1979,0,58.81989956,
42750.37881,1980,0,59.11989975,
42750.37881,1981,0,58.84992695,
42750.37881,1982,0,58.76989889,
42420.24311,1983,0,58.07990336,
42750.37881,1984,0,58.96144748,
42750.37881,1985,0,58.9299264,
42423.8226,1986,0,58.10990763,
42423.8226,1987,0,58.95990324,
42423.8226,1988,0,58.31046748,
42750.37881,1989,0,58.24990225,
42750.37881,1990,0,60.6199255,
42750.37881,1991,0,59.38993335,
42750.37881,1992,0,58.38992786,
42750.37881,1993,0,58.34990191,
42750.37881,1994,0,59.19989753,
42750.37881,1995,0,59.14993119,
42750.37881,1996,0,58.29993391,
42750.37881,1997,0,58.51992893,
42750.37881,1998,0,60.59051371,
42750.37881,1999,0,58.68992901,
42750.37881,2000,0,57.85993099,
42750.37881,2001,0,58.90992856,
42750.37881,2002,0,58.67993021,
42750.37881,2003,0,58.29993391,
